,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Year
,Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,
34,34,Eddie Griffin,"Oct 30, '01, HOU vs. ATL",19,5,303,6729,854,2263,237,752,226,337,497,1744,236,105,518,227,506,2171,.377,.315,.671,22.2,7.2,5.8,0.8,2002
35,35,Tang Hamilton,"Nov 3, '01, MIA @ ATL",23,1,9,98,10,19,0,1,0,1,6,18,5,4,0,2,10,20,.526,.000,.000,10.9,2.2,2.0,0.6,2002
36,36,Trenton Hassell,"Oct 31, '01, CHI vs. IND",22,9,644,16278,1549,3480,95,299,548,716,541,1826,1132,282,272,597,1399,3741,.445,.318,.765,25.3,5.8,2.8,1.8,2002
37,37,Kirk Haston,"Dec 7, '01, CHH @ GSW",22,2,27,134,13,56,0,6,6,12,5,27,8,0,6,10,19,32,.232,.000,.500,5.0,1.2,1.0,0.3,2002
38,38,Brendan Haywood,"Nov 27, '01, WAS @ CLE",22,13,816,18680,2110,3999,0,4,1318,2246,2081,4875,442,320,1109,851,2043,5538,.528,.000,.587,22.9,6.8,6.0,0.5,2002
39,39,Steven Hunter,"Oct 30, '01, ORL vs. TOR",20,8,400,5993,735,1313,0,1,347,715,482,1264,79,49,422,249,656,1817,.560,.000,.485,15.0,4.5,3.2,0.2,2002
40,40,Mike James,"Dec 23, '01, MIA @ TOR",26,12,595,14364,2139,5132,687,1813,898,1120,212,1324,2075,458,38,895,1201,5863,.417,.379,.802,24.1,9.9,2.2,3.5,2002
41,Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,2002
42,41,Richard Jefferson,"Oct 30, '01, NJN vs. IND",21,17,1181,34293,5150,11102,1042,2769,3562,4639,917,4720,2412,787,347,1768,2637,14904,.464,.376,.768,29.0,12.6,4.0,2.0,2002
43,42,Joe Johnson,"Oct 30, '01, BOS @ CLE",20,18,1277,44236,7823,17720,1978,5331,2783,3468,1067,5059,5001,1071,260,2451,2252,20407,.441,.371,.802,34.6,16.0,4.0,3.9,2002
44,43,Alvin Jones,"Nov 13, '01, PHI @ MIA",23,1,23,126,8,20,0,0,10,20,13,36,3,3,9,11,35,26,.400,,.500,5.5,1.1,1.6,0.1,2002
45,44,Andrei Kirilenko,"Oct 30, '01, UTA vs. MIL",20,13,797,23916,3146,6637,367,1185,2772,3675,1400,4352,2169,1097,1461,1518,1605,9431,.474,.310,.754,30.0,11.8,5.5,2.7,2002
46,45,Terence Morris,"Nov 1, '01, HOU vs. LAC",23,3,139,1934,209,514,22,112,32,45,123,377,93,35,49,81,126,472,.407,.196,.711,13.9,3.4,2.7,0.7,2002
47,46,Troy Murphy,"Oct 31, '01, GSW @ POR",21,12,729,19921,2848,6400,613,1578,1551,1977,1373,5708,1088,478,294,886,1890,7860,.445,.388,.785,27.3,10.8,7.8,1.5,2002
48,47,Dean Oliver,"Jan 14, '02, GSW vs. MIA",23,2,35,232,24,75,3,19,13,17,8,24,44,10,0,21,25,64,.320,.158,.765,6.6,1.8,0.7,1.3,2002
